data;
set Filmek := 1 2 3 4 5 6 7 8 9;
set Napok := 1 2 3 4 5 6 7 8 9 10;
set Kaja := nachos popcorn chips;

param jegyar:	1	2	3	4	5	6	7	8	9	10:=
1	1000	1200	1100	1050	1000	900	980	1000	1030	1200
2	1050	1100	1000	1200	1030	1250	1600	1400	990	900
3	1100	1100	1200	1250	1100	1050	1300	1250	1300	1200
4	1050	1000	1050	1050	1050	1100	1250	1120	1200	1100
5	1200	1300	1250	1100	1000	1400	1250	1200	1000	1150
6	1250	1200	1300	1400	1250	1200	1150	1100	1500	1100
7	1000	1000	900	800	700	1100	1000	1100	1150	1000
8	1000	1000	1050	1050	1050	1100	1250	1120	1200	800
9	1050	1000	900	800	700	1100	1000	1100	1150	890
;

param haromdese := 
1	0
2	1
3	0
4	1
5	0
6	0
7	1
8	0
9	1
;

param kajaar:=
nachos 500
popcorn 450
chips 470
;

param diakkedvezmeny := 0.9;
param sajat_penz := 6000;
param kajapenz := 500;
param diak_vane:= 1;
param akar_e_haromdet :=
1	0
2	1
3	0
4	1
5	1
6	0
7	1
8	0
9	1
;






end;

